year,month,carrier,airport,delay_rate,cancel_rate,divert_rate,total_delay_minutes
2025,7,YV,BWI,0.1111,0.0,0.0,44.0
2025,7,YV,CHS,0.3333,0.0417,0.0,1282.0
2025,7,YV,CLE,0.1538,0.0308,0.0,735.0
2025,7,YV,CLT,0.2313,0.0597,0.0,2264.0
2025,7,YV,CMH,0.1967,0.0,0.0,630.0
2025,7,YV,COS,0.1613,0.0,0.0,668.0
2025,7,YV,CRP,0.2105,0.0526,0.0,823.0
2025,7,YV,CVG,0.1867,0.0,0.0,722.0
2025,7,YV,DFW,0.2371,0.0103,0.0,2125.0
2025,7,YV,DRO,0.0323,0.0,0.0,50.0
2025,7,YV,DSM,0.129,0.0,0.0,187.0
2025,7,YV,DTW,0.2568,0.0405,0.0068,3785.0
2025,7,YV,ECP,0.3678,0.0115,0.0,2424.0
2025,7,YV,ELP,0.2956,0.0252,0.0063,3735.0
2025,7,YV,GRR,0.3226,0.0323,0.0,759.0
2025,7,YV,GSP,0.3333,0.0175,0.0,1525.0
2025,7,YV,GUC,0.125,0.0,0.0,150.0
2025,7,YV,IAD,0.2393,0.0491,0.0061,23417.0
2025,7,YV,IAH,0.2049,0.0173,0.005,55178.0
2025,7,YV,ICT,0.3514,0.027,0.0,2052.0
2025,7,YV,IND,0.2473,0.0108,0.0,1802.0
2025,7,YV,JAX,0.2549,0.0098,0.0,1457.0
2025,7,YV,LFT,0.2609,0.0435,0.0,339.0
2025,7,YV,LGA,0.3125,0.1375,0.0125,2392.0
2025,7,YV,MAF,0.2143,0.0,0.0,498.0
2025,7,YV,MCI,0.3041,0.0203,0.0,5181.0
2025,7,YV,MEM,0.3182,0.0227,0.0,1304.0
2025,7,YV,MFE,0.2281,0.0351,0.0,1193.0
2025,7,YV,MKE,0.3443,0.0,0.0,1756.0
2025,7,YV,MOB,0.25,0.0417,0.0,296.0
2025,7,YV,MSP,0.1522,0.0217,0.0,595.0
2025,7,YV,MSY,0.2121,0.0,0.0,459.0
2025,7,YV,MTJ,0.0667,0.0,0.0,59.0
2025,7,YV,MYR,0.0,0.0,0.0,0.0
2025,7,YV,OKC,0.1538,0.0,0.0,421.0
2025,7,YV,OMA,0.1481,0.0,0.0,360.0
2025,7,YV,ORF,0.2857,0.0102,0.0102,2044.0
2025,7,YV,PBI,0.04,0.0,0.0,27.0
2025,7,YV,PHL,0.1778,0.0222,0.0222,1191.0
2025,7,YV,PIT,0.0893,0.0,0.0,276.0
2025,7,YV,PNS,0.2553,0.0,0.0,495.0
2025,7,YV,PVD,0.3182,0.0,0.0,1263.0
2025,7,YV,RDU,0.2,0.075,0.0,991.0
2025,7,YV,RIC,0.2459,0.0328,0.0164,1404.0
2025,7,YV,SAT,0.2,0.0154,0.0,1131.0
2025,7,YV,SAV,0.3312,0.039,0.0,4621.0
2025,7,YV,SBN,0.6,0.0,0.0,296.0
2025,7,YV,SDF,0.2848,0.0265,0.0,5034.0
2025,7,YV,SLC,0.2963,0.0,0.0,807.0
2025,7,YV,STL,0.1714,0.0143,0.0,839.0
2025,7,YV,TUL,0.2069,0.0345,0.0,624.0
2025,7,YV,TUS,0.2097,0.0323,0.0,739.0
2025,7,YV,TYS,0.0,0.0,0.0,0.0
2025,7,YV,XNA,0.25,0.0577,0.0385,1403.0
2025,7,YX,ACK,0.1737,0.0297,0.0085,2674.0
2025,7,YX,ALB,0.3103,0.0,0.0,465.0
2025,7,YX,ATL,0.129,0.0806,0.0,980.0
2025,7,YX,AUS,0.25,0.0,0.0,22.0
2025,7,YX,AVL,0.1915,0.0,0.0,612.0
2025,7,YX,BDL,0.1772,0.0886,0.0,632.0
2025,7,YX,BGR,0.2258,0.0524,0.0,5702.0
2025,7,YX,BHM,0.2121,0.0606,0.0,340.0
2025,7,YX,BNA,0.278,0.0676,0.0135,10374.0
2025,7,YX,BTV,0.1918,0.1279,0.0046,4567.0
2025,7,YX,BUF,0.2227,0.1523,0.0039,5103.0
2025,7,YX,BWI,0.2295,0.041,0.0,2919.0
2025,7,YX,CAE,0.2821,0.0256,0.0,718.0
2025,7,YX,CHA,0.625,0.0,0.0,427.0
2025,7,YX,CHO,0.1852,0.0,0.0,1035.0
2025,7,YX,CHS,0.3248,0.094,0.0,6988.0
2025,7,YX,CLE,0.2642,0.0909,0.0028,7211.0
2025,7,YX,CLT,0.1828,0.0448,0.0037,4103.0
2025,7,YX,CMH,0.267,0.0701,0.0,24751.0
2025,7,YX,CVG,0.2587,0.0521,0.0039,8519.0
2025,7,YX,DAY,0.4194,0.1935,0.0,918.0
2025,7,YX,DFW,0.125,0.0,0.0,22.0
2025,7,YX,DSM,0.3235,0.1471,0.0,2932.0
2025,7,YX,DTW,0.228,0.0676,0.0016,12678.0
2025,7,YX,ECP,0.0625,0.0,0.0,42.0
2025,7,YX,EYW,0.2258,0.0,0.0,195.0
2025,7,YX,GRB,0.4,0.0,0.0,191.0
2025,7,YX,GRR,0.2222,0.088,0.0,3681.0
2025,7,YX,GSO,0.2808,0.1781,0.0068,3233.0
2025,7,YX,GSP,0.2599,0.1322,0.0,5437.0
2025,7,YX,HHH,0.1831,0.0141,0.0141,1137.0
2025,7,YX,HSV,1.0,0.0,0.0,175.0
2025,7,YX,HYA,0.1364,0.0182,0.0,931.0
2025,7,YX,IAD,0.1838,0.0852,0.0021,17310.0
2025,7,YX,IAH,0.2105,0.0,0.0,176.0
2025,7,YX,ILM,0.3023,0.1008,0.0078,2628.0
2025,7,YX,IND,0.267,0.092,0.0035,29185.0
2025,7,YX,JAX,0.3311,0.0946,0.0,3942.0
2025,7,YX,JFK,0.2406,0.1085,0.0038,27101.0
2025,7,YX,LEX,0.2308,0.0769,0.0,1149.0
2025,7,YX,LIT,0.5161,0.2258,0.0,987.0
2025,7,YX,MCI,0.2797,0.0424,0.0,2264.0
2025,7,YX,MCO,0.3441,0.0,0.0,2575.0
2025,7,YX,MEM,0.2889,0.0984,0.0,8624.0
2025,7,YX,MIA,0.3028,0.0,0.0141,3223.0
2025,7,YX,MKE,0.234,0.1191,0.0,5222.0
2025,7,YX,MSN,0.2126,0.1208,0.0,4425.0
2025,7,YX,MSP,0.2605,0.0924,0.0,2175.0
2025,7,YX,MSY,0.234,0.0426,0.0213,761.0
2025,7,YX,MVY,0.1205,0.0268,0.0,1884.0
2025,7,YX,MYR,0.2857,0.0952,0.0,699.0
2025,7,YX,OKC,0.2836,0.194,0.0299,2037.0
2025,7,YX,OMA,0.225,0.1375,0.0,1578.0
2025,7,YX,ORD,0.2798,0.0308,0.0025,46030.0
2025,7,YX,ORF,0.232,0.1082,0.0,7760.0
2025,7,YX,ORH,0.25,0.0,0.0,179.0
2025,7,YX,PBI,0.2222,0.0556,0.0,232.0
2025,7,YX,PHL,0.2623,0.0603,0.0042,12873.0
2025,7,YX,PIT,0.263,0.0867,0.001,23642.0
2025,7,YX,PNS,0.0968,0.0323,0.0,177.0
2025,7,YX,PVD,1.0,0.0,0.0,228.0
2025,7,YX,PWM,0.2444,0.1022,0.0,8976.0
2025,7,YX,RDU,0.2825,0.1027,0.0048,12769.0
2025,7,YX,RIC,0.2378,0.0888,0.0057,6475.0
2025,7,YX,ROA,0.3846,0.0769,0.0,1233.0
2025,7,YX,ROC,0.2391,0.1087,0.0,2039.0
2025,7,YX,RSW,0.3333,0.0667,0.0,714.0
2025,7,YX,SAV,0.2609,0.0696,0.0087,3338.0
2025,7,YX,SBN,0.3077,0.1538,0.0,1609.0
2025,7,YX,SCE,0.2,0.0,0.0,109.0
2025,7,YX,SDF,0.2857,0.0628,0.0108,14899.0
2025,7,YX,SRQ,0.1111,0.0,0.0,404.0
2025,7,YX,STL,0.22,0.1,0.0,5021.0
2025,7,YX,SYR,0.187,0.1138,0.0,1420.0
2025,7,YX,TPA,0.125,0.0,0.0,33.0
2025,7,YX,TUL,0.3143,0.1429,0.0,1227.0
2025,7,YX,TVC,0.2807,0.0,0.0,1149.0
2025,7,YX,TYS,0.2609,0.058,0.0,2771.0
2025,7,YX,XNA,0.377,0.1148,0.0,1843.0
2025,7,G7,ACK,0.2742,0.0806,0.0,2004.0
2025,7,G7,AVL,0.3594,0.0156,0.0,2143.0
2025,7,G7,AVP,0.4355,0.0,0.0,2872.0
2025,7,G7,BGR,0.6667,0.0,0.0,94.0
2025,7,G7,BHM,0.5,0.0323,0.0,3088.0
2025,7,G7,BUF,0.2581,0.1452,0.0,2163.0
2025,7,G7,CAE,0.5574,0.0,0.0164,2552.0
2025,7,G7,CHA,0.3478,0.0435,0.0,5219.0
2025,7,G7,CID,0.3614,0.012,0.0,3057.0
2025,7,G7,CLE,0.0,0.0,0.0,0.0
2025,7,G7,CLT,0.375,0.0,0.0,123.0
2025,7,G7,CMH,0.1818,0.0,0.0,90.0
2025,7,G7,CVG,0.4,0.1053,0.0105,4540.0
2025,7,G7,DAY,0.3154,0.0154,0.0,5235.0
2025,7,G7,DCA,0.3253,0.1488,0.0035,14209.0
2025,7,G7,DSM,0.0,0.0,0.0,0.0
2025,7,G7,DTW,0.125,0.0,0.0,42.0
2025,7,G7,FSD,0.3077,0.0,0.0,2199.0
2025,7,G7,GRB,0.2581,0.0,0.0,582.0
2025,7,G7,GRR,0.3443,0.0328,0.0,1348.0
2025,7,G7,GSO,0.3854,0.1042,0.0,5509.0
2025,7,G7,GSP,1.0,0.0,0.0,316.0
2025,7,G7,HSV,0.5806,0.0,0.0,3088.0
2025,7,G7,IAD,0.2824,0.0588,0.0094,14404.0
2025,7,G7,ILM,0.3871,0.129,0.0,4832.0
2025,7,G7,LEX,0.3607,0.0164,0.0,1777.0
2025,7,G7,LIT,0.3607,0.0,0.0,1928.0
2025,7,G7,MDT,0.2976,0.0238,0.0,2601.0
2025,7,G7,MEM,0.4231,0.0,0.0,762.0
2025,7,G7,MLI,0.371,0.0161,0.0161,3082.0
2025,7,G7,MSN,0.3671,0.0,0.0,2219.0
2025,7,G7,ORD,0.3575,0.0105,0.0088,65815.0
2025,7,G7,ORF,0.3846,0.1538,0.0,3234.0
2025,7,G7,PHL,0.2973,0.0991,0.0,3132.0
2025,7,G7,PIT,0.1923,0.0769,0.0,1072.0
2025,7,G7,PVD,0.2903,0.0,0.0,389.0
2025,7,G7,RDU,0.5333,0.0333,0.0,2883.0
2025,7,G7,RIC,0.3402,0.0913,0.0083,18507.0
2025,7,G7,ROA,0.1875,0.0,0.0,214.0
2025,7,G7,ROC,0.1538,0.0256,0.0,338.0
2025,7,G7,SCE,0.4024,0.0,0.0122,2772.0
2025,7,G7,SDF,0.0,0.0,0.0,0.0
2025,7,G7,SGF,0.2762,0.0,0.0095,2531.0
2025,7,G7,STL,0.3969,0.0,0.0052,8336.0
2025,7,G7,SYR,0.275,0.025,0.0,1124.0
2025,7,G7,TUL,1.0,0.0,0.0,92.0
2025,7,G7,TVC,0.298,0.0397,0.0,6991.0
2025,7,G7,TYS,1.0,0.0,0.0,136.0
2025,7,G7,XNA,0.2661,0.0367,0.0,2757.0
2025,7,HA,ANC,0.4839,0.0323,0.0,2181.0
2025,7,HA,BOS,0.2727,0.0,0.0,272.0
2025,7,HA,HNL,0.2109,0.0096,0.0,33588.0
2025,7,HA,ITO,0.1071,0.0122,0.0024,1858.0
2025,7,HA,JFK,0.2258,0.0,0.0,149.0
2025,7,HA,KOA,0.1606,0.0016,0.0,3553.0
2025,7,HA,LAS,0.2742,0.0,0.0,1962.0
2025,7,HA,LAX,0.4432,0.0,0.0,3444.0
2025,7,HA,LGB,0.1129,0.0,0.0,159.0
